id,title,authors,year,journal,doi,source,auto_decision,auto_reason,screening_decision,screening_reason,reviewer_notes,screening_date,abstract
693,Gene profiling of MTA1 identifies novel gene targets and functions,"Ghanta KS, Li DQ, Eswaran J, Kumar R.",2011,,10.1371/journal.pone.0017135,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
695,Designing the Microbial Research Commons: Proceedings of an International Symposium,"National Research Council (US) Board on Research Data and Information; Uhlir PF, editor.",2011,,10.17226/13245,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
697,Human and chicken TLR pathways: manual curation and computer-based orthology analysis,"Gillespie M, Shamovsky V, D'Eustachio P.",2011,,10.1007/s00335-010-9296-0,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
698,The proteome analysis of oleaginous yeast Lipomyces starkeyi,"Liu H, Zhao X, Wang F, Jiang X, Zhang S, Ye M, Zhao ZK, Zou H.",2011,,10.1111/j.1567-1364.2010.00687.x,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
699,An FDA bioinformatics tool for microbial genomics research on molecular characterization of bacterial foodborne pathogens using microarrays,"Fang H, Xu J, Ding D, Jackson SA, Patel IR, Frye JG, Zou W, Nayak R, Foley S, Chen J, Su Z, Ye Y, Turner S, Harris S, Zhou G, Cerniglia C, Tong W.",2010,,10.1186/1471-2105-11-S6-S4,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
700,Next generation models for storage and representation of microbial biological annotation,"Quest DJ, Land ML, Brettin TS, Cottingham RW.",2010,,10.1186/1471-2105-11-S6-S15,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
701,Microbiological Common Language (MCL): a standard for electronic information exchange in the Microbial Commons,"Verslyppe B, Kottmann R, De Smet W, De Baets B, De Vos P, Dawyndt P.",2010,,10.1016/j.resmic.2010.02.005,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
702,Gene expression profiling to identify eggshell proteins involved in physical defense of the chicken egg,"Jonchère V, Réhault-Godbert S, Hennequet-Antier C, Cabau C, Sibut V, Cogburn LA, Nys Y, Gautron J.",2010,,10.1186/1471-2164-11-57,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
703,Environmentally-acquired bacteria influence microbial diversity and natural innate immune responses at gut surfaces,"Mulder IE, Schmidt B, Stokes CR, Lewis M, Bailey M, Aminov RI, Prosser JI, Gill BP, Pluske JR, Mayer CD, Musk CC, Kelly D.",2009,,10.1186/1741-7007-7-79,pubmed,Exclude,E2: No KG/semantic web terms,Exclude,E2: No KG/semantic web terms,,,
704,Dynamic and physical clustering of gene expression during epidermal barrier formation in differentiating keratinocytes,"Taylor JM, Street TL, Hao L, Copley R, Taylor MS, Hayden PJ, Stolper G, Mott R, Hein J, Moffatt MF, Cookson WO.",2009,,10.1371/journal.pone.0007651,pubmed,Exclude,E1: Not microbiome-related,Exclude,E1: Not microbiome-related,,,
